"ASC","CarpetaImportacion","SimbolosDetectados","ASY_Copiados","ASY_Faltantes","ModelosCopiados","ModelosFaltantes","ArchivoPreparado","Instrucciones"
"C:\Users\kenne\Documents\ProyectoPCB_LTspice_PT100_SM50\01_SENSOR_PT100\Sensor_PT100.asc","C:\Users\kenne\Documents\KiCad\PCB_PT100_SM50\PCB_PT100_SM50\ltspice_import\Sensor_PT100","7","7","","1","","C:\Users\kenne\Documents\KiCad\PCB_PT100_SM50\PCB_PT100_SM50\ltspice_import\Sensor_PT100\asc\Sensor_PT100.asc","C:\Users\kenne\Documents\KiCad\PCB_PT100_SM50\PCB_PT100_SM50\ltspice_import\Sensor_PT100\IMPORTAR_EN_KICAD.txt"
"C:\Users\kenne\Documents\ProyectoPCB_LTspice_PT100_SM50\02_SENSOR_SM50\sensor_SM50.asc","C:\Users\kenne\Documents\KiCad\PCB_PT100_SM50\PCB_PT100_SM50\ltspice_import\sensor_SM50","5","5","","1","","C:\Users\kenne\Documents\KiCad\PCB_PT100_SM50\PCB_PT100_SM50\ltspice_import\sensor_SM50\asc\sensor_SM50.asc","C:\Users\kenne\Documents\KiCad\PCB_PT100_SM50\PCB_PT100_SM50\ltspice_import\sensor_SM50\IMPORTAR_EN_KICAD.txt"
